call_number,address,zipcode,neighborhood,station_area
220172535,600 Block of ELLIS ST,94109,Tenderloin,3
220172553,400 Block of GEARY ST,94102,Tenderloin,3
220172560,100 Block of LELAND AVE,94134,Visitacion Valley,44
220172562,800 Block of MARKET ST,94102,Tenderloin,1
220172565,6TH ST/MARKET ST,94102,South of Market,1
220172567,700 Block of ELLIS ST,94109,Tenderloin,3
220172569,400 Block of JONES ST,94102,Tenderloin,3
220172571,1800 Block of PAGE ST,94117,Haight Ashbury,12
220172576,29TH ST/NOE ST,94131,Noe Valley,11
220172577,6TH AV/GEARY BL,94118,Inner Richmond,31
220172581,1000 Block of MISSION ST,94103,South of Market,1
220172584,1900 Block of EVANS AV,94124,Bayview Hunters Point,9
220172590,0 Block of BOWL DR,94118,Golden Gate Park,22
220172593,200 Block of HYDE ST,94102,Tenderloin,3
220172608,0 Block of HYDE ST,94102,Tenderloin,36
220172621,600 Block of EUCLID AVE,94118,Presidio Heights,10
220172632,400 Block of COLON AVE,94127,West of Twin Peaks,39
220172642,400 Block of OTSEGO AV,94112,Outer Mission,15
220172647,GEARY BL/SCOTT ST,94115,Western Addition,5
220172657,19TH ST/CHURCH ST,94114,Castro/Upper Market,6
220172659,1700 Block of BEACH ST,94123,Marina,16
220172677,1700 Block of PINE ST,94109,Western Addition,38
220172679,0 Block of ROSEWOOD DR,94127,West of Twin Peaks,39
220172702,2600 Block of GOUGH ST,94123,Marina,38
220172703,CARROLL AV/3RD ST,94124,Bayview Hunters Point,17
220172726,0 Block of NEW MONTGOMERY ST,94105,Financial District/South Beach,35
220172730,1000 Block of PINE ST,94109,Nob Hill,41
220172746,3400 Block of MISSION ST,94110,Bernal Heights,32
220172747,1700 Block of BROOKS ST,94129,Presidio,14
220172753,100 Block of EDDY ST,94102,Tenderloin,3
220172757,2700 Block of UNION ST,94123,Marina,16
220172760,700 Block of NATOMA ST,94103,South of Market,1
220172761,300 Block of TURK ST,94102,Tenderloin,3
220172784,100 Block of 6TH ST,94103,South of Market,1
220172792,1100 Block of UNION ST,94109,Russian Hill,41
220172799,200 Block of 26TH AV,94121,Outer Richmond,14
220172803,1200 Block of MARKET ST,94103,South of Market,36
220172819,BUCHANAN ST/GOLDEN GATE AV,94115,Western Addition,5
220172831,18TH ST/HAMPSHIRE ST,94110,Potrero Hill,7
220172835,800 Block of FELL ST,94117,Hayes Valley,5
220172843,DUBOCE AV/CHURCH ST,94114,Hayes Valley,6
220172852,600 Block of JACKSON ST,94108,Chinatown,2
220172853,1200 Block of MARINER DR,94130,Treasure Island,48
220172856,300 Block of BAY SHORE BLVD,94124,Bayview Hunters Point,42
220172869,1100 Block of SCOTT ST,94115,Western Addition,5
220172874,1700 Block of OFARRELL ST,94115,Western Addition,5
220172887,400 Block of EDDY ST,94102,Tenderloin,3
220172909,100 Block of JONES ST,94102,Tenderloin,3
220172916,1400 Block of MARKET ST,94103,South of Market,36
220172919,2200 Block of CAYUGA AVE,94112,Outer Mission,33
220172924,800 Block of GONZALEZ DR,94132,Lakeshore,19
220172939,300 Block of SPEAR ST,94105,Financial District/South Beach,35
220172960,GOUGH ST/MCALLISTER ST,94102,Western Addition,36
220172962,500 Block of GOUGH ST,94102,Hayes Valley,36
220172987,COLUMBUS AV/UNION ST,94133,North Beach,28
220172991,400 Block of 17TH AVE,94121,Outer Richmond,31
220173001,0 Block of HARRIET ST,94103,South of Market,1
220173016,GOLDEN GATE AV/LEAVENWORTH ST,94102,Tenderloin,3
220173023,3RD ST/PALOU AV,94124,Bayview Hunters Point,17
220173027,400 Block of JONES ST,94102,Tenderloin,3
220173036,100 Block of MONTANA ST,94112,Oceanview/Merced/Ingleside,33
220173043,1000 Block of COLUMBUS AVE,94133,North Beach,28
220173046,300 Block of LEAVENWORTH ST,94109,Tenderloin,3
220173047,2300 Block of 16TH ST,94103,Mission,29
220173076,2100 Block of MISSION ST,94110,Mission,7
220173079,3900 Block of SACRAMENTO ST,94118,Presidio Heights,10
220173080,RITCH ST/TOWNSEND ST,94107,South of Market,8
220173102,600 Block of 33RD AVE,94121,Outer Richmond,14
220173104,45TH AV/CABRILLO ST,94121,Outer Richmond,34
220173116,1ST ST/FOLSOM ST,94105,Financial District/South Beach,35
220173121,OVERLOOK DR/TRANSVERSE DR,94122,Golden Gate Park,14
220173129,600 Block of 44TH AV,94121,Outer Richmond,34
220173132,200 Block of WOODSIDE AVE,94131,Twin Peaks,39
220173137,500 Block of ELLIS ST,94109,Tenderloin,3
220173138,CESAR CHAVEZ ST/VALENCIA ST,94110,Mission,11
220173154,200 Block of BLK IVY ST,94102,Hayes Valley,36
220173163,0 Block of SANCHEZ ST,94114,Castro/Upper Market,6
220173175,600 Block of GEARY ST,94109,Tenderloin,3
220173180,3300 Block of 25TH ST,94110,Mission,11
220173186,2500 Block of SUTTER ST,94115,Japantown,10
220173193,OSAGE AL/25TH ST,94110,Mission,11
220173213,0 Block of DORE ST,94103,South of Market,36
220173216,200 Block of GOLDEN GATE AVE,94102,Tenderloin,3
220173225,100 Block of 7TH ST,94103,South of Market,1
220173232,ELLIS ST/HYDE ST,94109,Tenderloin,3
220173233,HARRISON ST/4TH ST,94107,South of Market,1
220173245,100 Block of KISKA RD,94124,Bayview Hunters Point,17
220173248,11TH ST/HARRISON ST,94103,Mission,29
220173260,3000 Block of 16TH ST,94103,Mission,7
220173263,700 Block of CAYUGA AVE,94112,Outer Mission,15
220173264,1300 Block of WEBSTER ST,94115,Western Addition,5
220173267,0 Block of TURK ST,94102,Tenderloin,1
220173304,100 Block of BROOKDALE AVE,94134,Visitacion Valley,43
220173305,100 Block of 7TH ST,94103,South of Market,1
220173312,1200 Block of MARKET ST,94103,South of Market,36
220173322,100 Block of CASELLI AV,94114,Castro/Upper Market,24
220173329,700 Block of LA PLAYA,94121,Outer Richmond,34
220173330,WALLER ST/MASONIC AV,94117,Haight Ashbury,21
220173335,400 Block of ELLIS ST,94102,Tenderloin,3
